Feature,Importance
OREB,172.0
FTA.1,171.0
FT_PCT.1,164.0
PF,163.0
PLUS_MINUS,162.0
AST,159.0
TOV,151.0
PF.1,150.0
PLUS_MINUS.1,144.0
REB.1,142.0
FG_PCT.1,138.0
FTM.1,137.0
FG3_PCT.1,137.0
FT_PCT,137.0
FG3M.1,136.0
PFD.1,136.0
STL.1,134.0
REB,133.0
FG3A,132.0
PTS.1,131.0
OREB.1,129.0
BLK.1,129.0
AST.1,129.0
FG3_PCT,126.0
FG_PCT,126.0
PFD,125.0
DREB,125.0
TOV.1,125.0
BLKA.1,123.0
PTS,122.0
W_PCT,121.0
GP_RANK,121.0
FTA,118.0
FTM,116.0
FG3A.1,116.0
FGM.1,115.0
BLK_RANK.1,114.0
W_PCT.1,114.0
L,112.0
FG3M,112.0
DREB_RANK.1,112.0
FGA.1,109.0
FGA,107.0
BLK,105.0
DREB.1,104.0
MIN_RANK.1,104.0
STL,103.0
L.1,103.0
MIN_RANK,102.0
DREB_RANK,102.0
GP_RANK.1,102.0
TOV_RANK.1,102.0
PF_RANK.1,100.0
BLKA_RANK.1,99.0
BLK_RANK,99.0
BLKA_RANK,99.0
FGM,98.0
REB_RANK,97.0
FG3_PCT_RANK.1,96.0
FGA_RANK,96.0
BLKA,96.0
FG3A_RANK,95.0
PLUS_MINUS_RANK,94.0
FG3M_RANK.1,93.0
FT_PCT_RANK.1,93.0
TOV_RANK,90.0
GP,90.0
PTS_RANK,89.0
W,88.0
PF_RANK,88.0
FG_PCT_RANK.1,87.0
PFD_RANK.1,87.0
W.1,87.0
FGM_RANK,86.0
FG3M_RANK,86.0
FGA_RANK.1,86.0
FTM_RANK,85.0
PFD_RANK,84.0
PLUS_MINUS_RANK.1,84.0
STL_RANK,83.0
FGM_RANK.1,82.0
AST_RANK,82.0
FT_PCT_RANK,82.0
OREB_RANK,81.0
STL_RANK.1,81.0
FG3_PCT_RANK,78.0
AST_RANK.1,77.0
L_RANK.1,76.0
REB_RANK.1,76.0
FG_PCT_RANK,75.0
MIN,75.0
W_RANK,72.0
OREB_RANK.1,72.0
Days-Rest-Away,72.0
FTM_RANK.1,71.0
L_RANK,70.0
FG3A_RANK.1,69.0
FTA_RANK.1,67.0
MIN.1,61.0
W_RANK.1,60.0
GP.1,55.0
PTS_RANK.1,52.0
Days-Rest-Home,50.0
W_PCT_RANK,46.0
W_PCT_RANK.1,45.0
FTA_RANK,44.0
